barcode,season,style,typeId,size,color,location,replacementValue
1000000002023,,1997 Neon Fog Grey,Footwear,EU 42,Grey,TRAFFIK,$330.00
1000000002014,,1992 Velvet Black,Footwear,EU 39,Black,TRAFFIK,$350.00
1000000002005,,Venture Shadow Black,Footwear,EU 43,Black,TRAFFIK,$455.00
1000000001990,,Venture Shadow Black,Footwear,EU 39,Black,TRAFFIK,$455.00
1000000001981,,Venture Phoenix Orange,Footwear,EU 45,Orange,TRAFFIK,$520.00
1000000001972,,Venture Phoenix Orange,Footwear,EU 40,Orange,TRAFFIK,$520.00
1000000001963,,Venture Moss Green,Footwear,EU 42,Green,TRAFFIK,$455.00
1000000001954,,Venture Moss Green,Footwear,EU 38,Green,TRAFFIK,$455.00
1000000001945,,Quantum Imperia Black,Footwear,EU 40,Black,TRAFFIK,$325.00
